Company Name,Factory Address,Principal Exportable Product
N/A,N/A,N/A
Megastar Apparels Ltd.,"339, D.I.T Road,
Dhaka
Rampura","Shirts
											 ,Jackets											,Nightwear											,Trousers"
N/A,N/A,N/A
Meghna Knit Composite Ltd.,"Gilarchala, Sreepur
Gazipur
Gazipur","T-Shirts
											 ,Polo Shirts											,Night Wear											,Juger"
Meher Garments Ltd.,"68/V, Sagarica Road (2nd Floor),
Chittagong
Pahartoli","MB Shirts
											 ,Blouses											,Swim Wears											,Bottom"
Meherun Apparels Ltd.,"72/B, Malibagh Chowdhury Para,
Dhaka","Shirts
											 ,Shortalls											,Pants											,Overalls"
Mehnaz Styles And Craft Ltd.,"Industry Sl No. 56, Ward # 06Tongabari, Ashulia, Savar
Dhaka
Dhaka","Shirts
											 ,Ladies Blouses											,Pants											,Jackets"
Mellow Fashion Ltd.,"524, DT Road,
Chittagong
Kadamtoli","Jogging Suits
											 ,Long Pants											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Men's Apparels Ltd.,"1351, Aturar Depot., P.O-Amin Jute Mills
Chittagong","Shirts
											 ,Jackets											,Knitted Garments"
Men's Fashion Ltd.,"49 (NP) Kalurghat Heavy I/A,
Chittagong
Kalurghat","Shirts
											 ,Jackets											,Swimwears											,Trousers"
N/A,N/A,N/A
N/A,N/A,N/A
Merchants House Ltd.,"A/100, BSCIC I/E,
Chittagong
Kalurghat","Shirts
											 ,Trousers											,Caps											,Jersey"
Meridian Fashion Wear Ltd.,"Madhani Super Market (1st Floor), Hemayetpur Bus Stand
Dhaka
Savar","Jackets
											 ,Children Wears											,Trousers											,Skirts"
Meridian Fashions Ltd.,"339, D.I.T Road,
Dhaka
Rampura","Shirts
											 ,Jackets											,Trousers											,Nightwear"
Meridien Apparels Ltd.,"Borobari Pukurpara, Ashulia
Dhaka
Savar","Shirts
											 ,Pants"
Merim Co. Ltd.,"Plot # 4-6, Sector # 6/A,
Chittagong
CEPZ","Jackets
											 ,Suits											,Pants											,Dress"
Merimo Ltd.,"Plot # 25-26, Sector # 6,
Chittagong
CEPZ","Jackets
											 ,Suits											,Skirts											,Pants"
Merlin Knitwear Ltd.,"Nawjor,
Gazipur
Kadda Bazar","Pullovers
											 ,Cardigans											,Jersey"
Mermaid Sweaters Ltd.,"177/1, 178 South Bisail, Section # 1
Dhaka
Mirpur",Sweaters
Merry Gold Garments (Pvt.) Ltd.,"BSCIC Industrial Estate,
Chittagong
Kalurghat","Shirts
											 ,Jackets											,Pants"
Mesh Exports House (Pvt.) Ltd.,"Vogra, National University
Gazipur
Joydevpur","Shirts
											 ,T-Shirts											,Polo Shirts											,Tank Tops"
Mesh Sports Wear (Pvt.) Ltd.,"Saidana, Dagerchala Road,
Gazipur
National University","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Meshu Apparels Ltd.,"Paramount Bhaban, 215/216, Dewandigi
Chittagong
Dewanhat","Jackets
											 ,Shorts											,Trousers											,Skooters"
Metro Knitting & Dyeing Mills Ltd.,"Ramarbag, Kutubpur,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Mexi-Bangla Sweater Ltd.,"Foysal Complex, Plot # P/1
Chittagong
Pahartoli",Sweaters
MG Knit Flair Ltd.,"31/1, Laxmipura, Chandana,
Gazipur
Joydevpur","Sweaters
											 ,Cardigans											,Pullovers"
MG Niche Flair Ltd.,"248, Tatki, Tarabo, Jatramura
Narayanganj
Rupgonj","Under Wears
											 ,Lingeries"
MG Niche Stitch Ltd.,"Plot # 3929, Dogri, Banglabazar
Gazipur
Mirzapur","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
MG Shirttex Ltd.,"31/1, Laxmipura, Chandana
Gazipur
Joydevpur","Shirts
											 ,Ladies Shirts											,Boy's Shirts"
MHC Apparels (Pvt) Ltd.,"297/1, Block - B, Ward -4,
vangnahati, Sreepur
Gazipur -1704
Gazipur","Jackets/ pant (Padded & Non Padded, fake Down
											 ,Seam Seal, Sew Free, 2/3 layer											,Technical / Functional, Soft Shell)											,Swim Trunk & Shorts"
N/A,N/A,N/A
MHC Wears (PVT.) Ltd.,"Holding # 122 (New), 13/1(OLD) Satais
Gazipur
B. Baria","Jacket
											 ,Pants											,Suitset"
Miami Garments,"13, Maya kanan,
Dhaka
Bashaboo","Shirts
											 ,Blouses											,Nightwears"
Mid Asia Fashions Ltd.,"Inds. Plot # M- 16, Section # 14
Dhaka
Mirpur","Shirts
											 ,Blouses											,Pajama Sets"
Mid Line Sweater Ltd.,"Lane # 1, Road # 4, Word # 1, Baroboyka
Gazipur
Gazipur Sadar","Sweaters
											 ,Pullovers											,Cardigans"
Mid Night Sweaters Ltd.,"Kuturia, Savar Cantonment, Ashulia
Dhaka
Savar",Sweater
Middle East Garments Ltd.,"D - 4, B - Black, BSCIC Industrial Area
Chittagong
Chittagong","Jackets
											 ,Pants											,Shortalls											,Trousers"
N/A,N/A,N/A
Mifkif Apparel Ltd.,"114/1, 114/2, Noyabari road, Sataish
Gazipur
Tongi","Jackets
											 ,Trousers											,Vest"
N/A,N/A,N/A
Mika Fashion Ltd.,"Jahan Building No.1  (4th Floor), 23, Agrabad C/A
Chittagong
Agrabad","Shirts
											 ,Swim Wears											,Ski Pants											,Jackets"
Milaco Textile Mills (Pvt) Ltd.,"Dharmagonj,
Narayanganj
Fatullah","Bath Robes
											 ,Towels"
N/A,N/A,N/A
N/A,N/A,N/A
Mild One Knit Composite Ltd.,"Berulia, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
Miles Fabrics Ltd.,"1364, Askarabad, DT Road
Chittagong","Shirts
											 ,Jackets											,Pants"
N/A,N/A,N/A
Millenium Dresses Ltd.,"Ka-63/1, Kuril Chowrasta,
Dhaka
Badda","Shirts
											 ,Pants											,Jackets											,Shorts"
N/A,N/A,N/A
Millennium Apparels Ltd.,"Masimpur Cooperative Market Society, Plot # 37 (4-7th Fl), Block - B
Gazipur
Tongi","Jackets
											 ,Overalls											,Pants"
N/A,N/A,N/A
Millennium Spinning & Knitting Fac. Ltd.,"Plot # 25-30, 43-48, Sector # 8
Chittagong
CEPZ",Sweaters
Millennium Sweater Ltd.,"Aukpara, Ashulia
Dhaka
Savar","Sweaters
											 ,Pullovers											,Cardigans"
Millennium Textiles (Southern) Ltd.,"Bara Rangamatia, Ashulia
Dhaka
Savar","Shirts
											 ,Blouses"
Milliner Garments Ltd.,"1343, East Shewrapara, Kafrul
Dhaka
B. Baria","Shirts
											 ,Pants											,T-Shirts"
Mim Design Ltd.,"Basan Sarak Bazar,
Gazipur
Vogra","Sweaters
											 ,Pullovers											,Cardigans"
Mim Sweaters Ltd.,"Basan Sarak Bazar,
Gazipur
Vogra","Sweaters
											 ,Pullover											,Cardigans											,Vest"
Mimtex Fashion (Pvt) Ltd.,"S-45, BSCIC Inds. Estate,
Gazipur
Konabari","T-Shirts
											 ,Polo Shirts											,Trousers											,Sweat Shirts"
N/A,N/A,N/A
Minar Textiles (Garments Div.),"70 Nayamati Road,
Narayanganj","T-Shirts/Polo Shirts
											 ,Tank Top"
N/A,N/A,N/A
Minimax Ltd.,"Plot # 33, 35, 37 & 39, National University
Gazipur
Gacha","Windbreakers
											 ,Trousers											,Bermuda Shorts											,Jackets"
Mint Apparel Ltd.,"Jharna Complex,, Soydana-Sharifpur,
Gazipur
Board Bazar","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Mir Fashionwear Ltd.,"304, Sk. Mujib Road,
Chittagong","Briefs
											 ,Panties											,T-Shirts"
Mirabella Dresses Ltd.,"Plot # M/2-1, Road # 7, Section # 7, Mirpur Ind. Area
Dhaka
Mirpur","Kids Wears
											 ,T-shirts											,Polo Shirts											,Fashion Wears"
Mirage Wears (Pvt) Ltd.,"4/1, Sholak Bahar, Abdul Hamid Road
Chittagong
Panchlaish","Jackets
											 ,Boxers											,T-Shirts											,Long Pants"
Miras Fashion Ltd.,"Padakhan Road, Beparipara, North Chandgaon
Chittagong
Chandgaon",Sweaters
Mirpur Fashion Ltd.,"Tamanna Complex (5th Floor), CB-288, Kachukhet
Dhaka
Cantonment","Shirts
											 ,Jackets											,Pants"
Mirza Apparels Ltd.,"262, Satarkul Road, Uttar Badda
Dhaka
Uttara","T-Shirts
											 ,Polo Shirts"
Misami Garments Ltd.,"822/3, Shewarapara,
Dhaka
Mirpur","Jackets
											 ,Pants											,Sportswear											,Outer Wears"
Mission Apparel Industries,"FIDC Road, BSCIC Industrial area
Chittagong
Kalurghat","Shirts
											 ,Pants											,Dresses											,Skirts"
Mission Fashion Ltd.,"Sura Bari,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts"
Mistia Sweaters Ltd.,"Plot # B-85, BSCIC I/E,
Gazipur
Tongi",Sweater
N/A,N/A,N/A
Miswar Hosiery Mills (P) Ltd.,"Plot # 252, Ramarbag, Kutubpur
Narayanganj
Fatullah","Jackets
											 ,Pants											,Overalls											,Dresses"
N/A,N/A,N/A
Mita Fashions Ltd.,"104, Borobag, Section -2,
Dhaka
Mirpur","Shirts
											 ,Blouses											,Jackets"
N/A,N/A,N/A
Mitali Fashions Ltd.,"Berenda, Hatimara Road
Gazipur","T-Shirts
											 ,Polo Shirts											,Fleece Jackets											,Joggers"
Mitchelle & Tigana Fashion Ltd.,"Plot # B/109 -110, BSCIC i/A,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
Mithela Textile Industry,"Khanpara, Duptara,
Narayanganj
Araihazar","Shirts
											 ,Jackets											,Pants"
Mithun Knitting & Dyeing (CEPZ) Ltd.,"Plot # 43-46, Sector # 4, South Halishahar
Chittagong
CEPZ","Kids Items
											 ,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
MK Apparels Ltd.,"Plot # 60, Road # 7, Ward # 4, Block -A, Kukkumari
Dhaka
Savar","Shirts
											 ,Pants"
MK Fashions Ltd.,"Tayebpur, Zirabo, Ashulia
Dhaka
Savar","T-Shirts
											 ,Ladies Dresses											,Night Wears"
N/A,N/A,N/A
MNC Apparels Limited,"Plot # 78-79, Section # 7, Road # 7
Chittagong
CEPZ","Shirts
											 ,Pants											,Trousers											,Shorts"
MNR Sweaters Ltd.,"Baraiderchala, Sreepur, Gazipur, Bangladesh.
Gazipur
B. Baria",Sweater
M-Nur Sweaters Ltd.,"Kolomeshwar, Zhazur Road
Gazipur
National University",Sweater
Moazzem Garment Inds. Ltd.,"31, Gulshan Avenue, Circle # 1
Dhaka
Gulshan","Pants
											 ,Shortalls											,Shorts"
N/A,N/A,N/A
Model Apparels Ltd.,"28/25, Stand Road,
Chittagong
Mazirhat","Jackets
											 ,Pants											,Trousers"
Modele De Capital Ind. Ltd.,"Talla Road, Khapur
Narayanganj
Fatullah","Jackets
											 ,Pullovers											,T-Shirts											,Polo Shirts"
Modern Garments Ltd.,"282, South Kafrul,
Dhaka
Cantonment","Shirts
											 ,Ladies Blouses											,Jogging Suits											,Trousers"
Modish Attires Limited,"Haji Complex, Iron Market, Police Line
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Tank Top"
Modiste (Bangladesh) Ltd.,"51/C (A), Sagorika Road, Fozderhat Heavy I/A
Chittagong","Swim Wears
											 ,Pants											,Shorts"
Modiste (CEPZ) Ltd.,"Plot # 33-36, Sector # 7
Chittagong
B. Baria","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Mohammadi Apparels Ltd.,"50, lalbag Road,
Dhaka
Lalbagh","Shirts
											 ,Blouses											,Pants											,Ladies Top"
N/A,N/A,N/A
Mohammadi Fashion Sweaters Ltd.,"Ka/52/A, Khilkhat Khapara,
Dhaka
Badda","Men's Sweaters
											 ,Ladies Sweaters											,Boy's Sweaters"
Mohammadi Group Ltd.,"32, Luxmipura (Ground, 1st & 2nd Floor), Chondona, Joydevpur
Gazipur
Gazipur","Shirts
											 ,Ladies Shirts											,Boy's Shirts"
Mohammadi Industries Ltd.,"27/42, BSCIC I/A,
Chittagong
Kalurghat","Knit Items
											 ,Swim Trunks"
Mohammadi Knit Star Ltd.,"Bhabanipur, Mirzapur,
Gazipur
Gazipur Sadar",Sweaters
N/A,N/A,N/A
N/A,N/A,N/A
Mohara Asian Apparels Ltd.,"472, Kalurghat I/A,
Chittagong","Shirts
											 ,Jackets											,T-Shirts											,Boxers"
Mohona Fashion Ltd.,"380/7, Kunjaban, Tv Road
Dhaka
Rampura","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Mollah Apparels Ltd.,"Plot # B-424-427, BSCIC Hosiery I/E, Shasongaon, Enayetnagar, Fatullah
Narayangonj
Narayangonj","Shirts
											 ,Infant wears											,T-shirts"
Mollah Knit Fashions Ltd.,"Plot # B-424-427, BSCIC I/E, Shasongaon, Enayetnagar, Fatullah
Narayangonj
Narayangonj","T-Shirts
											 ,Polo Shirts											,Sweat Shirts											,Tank Tops"
Momen Apparels Ltd.,"220/1, 1/1, West Kafrul, Begum Rokeya Sarani
Dhaka
Mirpur","Shirts
											 ,Pants"
Momena Apparels Ltd.,"92/2, Senpara, Porbota
Dhaka
Mirpur-10","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Momin Apparels Ltd.,"11, Hossain Shahid Sorwardy Road,
Chittagong
Kotwali","Shirts
											 ,Panties											,T-Shirts											,Tank Top"
Momin Garments,"Hari Nagor, Ranihati Bazar
Chapai Nawabganj
Shibganj","T-Shirts
											 ,Polo Shirts"
Momtaj Fashions Ltd.,"Wazedia, Panchlaish,
Chittagong
Agrabad","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
N/A,N/A,N/A
Monde Apparels Ltd.,"Khaja Super Market (6th Floor), 7, Kalayanpur
Dhaka
Mirpur Road","Fleece Jackets
											 ,Top-Bottom											,Pants"
N/A,N/A,N/A
Mondetex Fashion Ltd.,"68/X, Sagarica Road,
Chittagong
Pahartoli","Wind Pants
											 ,Wind Jackets											,Jogging Suite											,Shorts"
Mondol Apparels Ltd.,"Parijat (Horinachala),
Gazipur
Konabari","T-Shirts
											 ,Polo Shirts"
Mondol Fabrics Ltd.,"Nayapara,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts											,Jackets"
Mondol Fashions Ltd.,"Rashid Tower, Tongabari, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
Mondol Intimates Ltd..,"Shirir Chala, Bagher Bazar, Mahona Bhabanipur
Gazipur
Gazipur Sadar","Shirts
											 ,Pants											,T-Shirts"
Mondol Knit Tex Ltd.,"Nayapara,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts"
Mondol Knitwear Ltd.,"Nayapara, kashimpur
Gazipur
Gazipur Sadar","Shirts
											 ,Pants											,T-Shirts"
N/A,N/A,N/A
Moni Fashion Ltd.,"Shardagonj,
Gazipur
Kashimpur","Pullovers
											 ,Cardigans											,Jumpers"
N/A,N/A,N/A
N/A,N/A,N/A
Monika Apparels,"Holding # C-1/6, Rarie Bari, Sabahhanbagh
Dhaka
Savar","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Monno Attire Ltd.,"Gilondo, Monno City
Manikganj","Shirts
											 ,T-Shirts"
Monowara Apparels Ltd.,"10/D, Shilpa Plot # D/19/B,
Dhaka
Mirpur","Shirts
											 ,Pants											,Frock											,Rumpers"
Monowara Textile Mills Ltd.,"Plot # 225, Masdair,
Narayanganj
Fatullah",T-Shirts/Polo Shirts
Montex Apparels Limited.,"271, Dhaka Trunk Road,
Chittagong
Kadamtali","Briefs
											 ,Tank Tops											,Panties"
Montex Fabrics Ltd.,"Nayapara,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts											,Jackets"
Monwara Hero Apparels Ltd.,"Hoque Market (2nd Floor), 859, Bahaddarhat
Chittagong","Jeans Wear
											 ,Knit Items											,Polar Fleece Items											,Lingerie"
N/A,N/A,N/A
Moon Fashion Ltd.,"68/X, Sagarica Road, Fouderhat Heavy I/A
Chittagong","Shirts
											 ,Jackets											,Pants											,Board Shorts"
Moon Readywears Ltd.,"Vill-Biron, Zirabo, Diakhali
Dhaka","Shirts
											 ,Trousers											,Children Wears											,Payjama sets"
Moon Star Garments Ltd,"147, Chand Meah Lane,
Chittagong
Khatunganj","Shirts
											 ,Jackets											,Pants											,Trousers"
Moonlight Garments Ltd.,"Kunia Pachar (Targach), K.B. Bazar, Gazipur
Gazipur
Gazipur","Shirts
											 ,Tousers											,Blouses"
Moonlux Apparels Ltd.,"M.S. Tower, Siddhirgang Pool,
Narayanganj
Siddhirgang","Shirts
											 ,Pants"
Moonlux Composite Knit Garments Ltd.,"R.S. Dag # 7504, 7505 Sumril Para,
Narayanganj
Siddirganj","T-Shirts
											 ,Polo Shirts											,Knit Garments"
Moonlux Knit Garments Ltd.,"Holding # B-11, MS Tower-3, Siddirganj Pool, Siddirganj
Narayanganj
Narayangonj","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Moontex Design Ltd.,"34, Rahmat Towar, Joydebpur
Gazipur
Chowrasta",Sweater
N/A,N/A,N/A
Morshed Ltd.,"786, Nandipara,
Dhaka","Shirts
											 ,Pants"
Mostafa Garments Inds. Ltd.,"40, Agrabad C/A,
Chittagong
Chittagong","Jacket
											 ,Shortall Set											,Trousers											,Shorts"
Mother Fashions Knitwear,"Bhai Bhai Super Market (2nd Fl), Pallibiddut, Ashulia
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
Mouchak Knit Composite Ltd.,"Mouchak,
Gazipur
Kaliakoir","T-Shirts
											 ,Polo Shirts"
Mouli Garments (Pvt.) Ltd.,"House # 11, Mouli House, Road # 14, P.C. Culture H. Society Ltd.
Dhaka
Mohammadpur","Jackets
											 ,Trousers"
Mouly Fashion Ltd.,"Plot # A-100 (North), BSCIC I/A
Gazipur
Tongi","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Moushumi Knit Composite Ltd.,"South Panishail,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts"
Mousumi Towels Limited,"Anjuman Bldg., 155, Anderkilla
Chittagong
Kotawali",Towels
Movivo Apparels Ltd.,"113, Baipail, Ashulia
Dhaka
Savar","Shirts
											 ,Pants"
Mozart Knit Ltd.,"Basaid, Ashulia
Dhaka
Savar","Jackets
											 ,Shorts											,T-Shirts											,Polo Shirts"
MPL Wear Ltd.,"225/221, Khairtul  Mouza, Gazipura, Sataish Road
Gazipur
Tongi","T-Shirts
											 ,Polo Shirts											,Tank Top											,Legging"
N/A,N/A,N/A
Mridha Fashions Ltd.,"Boupara, Vowal Mirzapur,
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts											,Payjama											,Tank Tops"
N/A,N/A,N/A
MS Knit Design Ltd.,"Vhorari Battala, Rajfulbaria, Hemayetpur
Dhaka
Savar","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
MTM Garments Ltd.,"15934/16004, Chandpara, Medical Road, Uttarkhan
Dhaka
Uttara","Shirts
											 ,Pants"
MTS Garments Ltd.,"86, Dewanhat,
Chittagong
Chittagong","Jackets
											 ,Pants											,Cargo Shorts"
Muazuddin Knit Fashion Ltd.,"B/31, East Chandura,
Gazipur
Kaliakoir","T-Shirts
											 ,Polo Shirts											,Fancy Items"
Muazuddin Textile Ltd.,"Plot # B-8 & 9, BSCIC I/A,
Gazipur
Konabari","Knit Items
											 ,Shorts"
Muksudpur Apparels Ltd.,"Holding # 27, Milk Vita Road, Section # 7, Pallabi
Dhaka
Mirpur","Shirts
											 ,Jackets											,Pants"
Mukta Apparels Limited,"539, Reaz Uddin Road,
Chittagong
Kotawali","Jackets
											 ,Shortalls											,Trousers"
Mukul Knitwear Ltd.,"Nilnagar,
Gazipur
Gazipur Sadar",T-Shirts
N/A,N/A,N/A
Multi Modern Apparels Ltd.,"Ilfil Complex, Bada Kalmashar, National University
Gazipur
Board Bazar",Sweaters
Multi Safh Bags Ltd.,"SFB # 6, East Wing, South Halishahar
Chittagong
CEPZ","Jackets
											 ,Pants											,Begs"
Multifabs Ltd.,"Nayapara,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Multiple Fashions Ltd.,"271, Tejgaon I/A,
Dhaka
Tejgaon","Shirts
											 ,Jackets											,Shorts"
N/A,N/A,N/A
Multitex Knit Composite Ltd.,"Reliance Industrial Parl, 93, Islampur
Gazipur
Gazipur","T-Shirts
											 ,Polo Shirts											,Hoody											,Jacket"
Muma Fashions Ltd.,"Plot # 7, Road # 9, Block - C, Section # 6
Dhaka
Mirpur","Shirts
											 ,Blouses											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
Murad Apparels Ltd.,"190, Inner Circular Road,
Dhaka
Dhaka","Long Dress
											 ,Pant											,Jacket											,Skirt"
Musk Sweater Composite Ltd.,"Shinaboha, Mouchak
Gazipur
Kaliakoir","Sweaters
											 ,Pullovers											,Cardigans											,Dyed Yarn"
Musk Trousers Ltd.,"House # 82, New Airport Road,
Dhaka
Banani","Women Dress
											 ,Babies Dress											,Sport Dress"
Muslin Textile Mills Ltd.,"519, Chatar,
Gazipur
Gazipur Sadar",Knit Items
Mustaque Fashion Wear,"2/8, Tolarbag, Section # 1,
Dhaka
Mirpur","Jackets
											 ,Blouses											,Jogging sets"
Mutual Apparels Ltd.,"Holding # 95/2, Road # 2, Ward # 5, Block # 8, Gouripur, Ashulia
Dhaka
Savar","Shirts
											 ,Pants"
My Choice Enterprise Ltd.,"Plot-M/4/4, Road # 7, Section-7
Dhaka
Mirpur","Shirts
											 ,Jackets											,Pants"
M-Yew Fashion Ltd.,"Haji Sahabuddin Shopping Complex(3rd & 4th), 15/6, Rasulbagh
Dhaka
Mohakhali","Long Pants
											 ,Trousers											,Jackets											,Skirts"
N.A. Garments Ltd.,"Plot # 36, Road # 46, Gulshan North C/A
Dhaka
Gulshan","Shirts
											 ,Ladies Blouses											,Trousers, Shorts"
Fashion Fiber Limited,"Jarun, Kashim Cotton Mill,
Gazipur
B. Baria",Sweaters
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N.I. Design Wear Ltd.,"Commerce Corner Complex, 95, South Khapara, Auchpara
Gazipur
Tongi","Shirts
											 ,Pants"
N.K. Sweaters Ltd.,"Inds. Plot # A-139, BSCIC
Gazipur
Konabari",Sweaters
N.K.K. Knitwear Ltd.,"Kutubail,
Narayanganj
Futullah","Shirts
											 ,Jackets											,T-Shirts"
N/A,N/A,N/A
N.K.L. Apparels Ltd.,"House # 52, Plot # 238 (2nd - 5th Fl), Satarkul Road, Abdullahbagh More
Dhaka
Uttar Badda","Jackets
											 ,Overalls											,Pants"
N.N. Garments Ltd.,"30, Ring Road, Adabor
Dhaka
Shamoli","Jackets
											 ,Trousers											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
N.R. Knitting Mills Ltd.,"60, Banga Bandhu Road,
Narayanganj
B.B. Road","T-Shirts, Tank Tops
											 ,Serafino"
N.R.C. Knit Fashions Ltd.,"N.R. Complex, Naya Masjid Road
Chittagong
Chaktai","Sweaters
											 ,Pullovers											,Cardigans"
N.R.R. Fashion Ltd.,"Plot # A-81, BSCIC Industrial Estate,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
N.S. Dresses Ltd.,"Boktier Mansion (3rd & 4th Fl), Wazadia Madrasha
Chittagong
Bayzid Bostami","T-Shirts
											 ,Polo Shirts"
N.T. Apparels Ltd.,"Nandalalpur Road, Pilkuni
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
N.T. Apparels Unit-2 Ltd.,"Nandalalpur Road, Pilkuni
Narayanganj
Fatullah","Shirts
											 ,Pants"
N/A,N/A,N/A
Naab Fashions Ltd.,"Ka-220/12, Khilkhet, Namapara
Dhaka
Nama Para","Jackets
											 ,Overalls											,Bottoms											,Long Pants"
Naba Apparels Ltd.,"Alam Super Market (3rd Floor), 413, New jurain
Dhaka
Postagola","Under Garments
											 ,Sleep Wears											,T-Shirts											,Outer Wears"
Naba Export Ltd.,"9125/9126, Shakpura, Boalkhali
Chittagong","T-Shirts
											 ,Jackets											,Trousers											,Boxers"
Nadia Garments Ltd.,"44, New Eskaton Road,
Dhaka
Dhaka","Shirts
											 ,Blouses											,Maxi											,Shorts"
Nafa Apparels Ltd.,"F1 # 35, Uttara Model Town, Sector # 3
Dhaka
Uttara","Shirts
											 ,Jackets											,T-Shirts"
Nafisa Apparels Ltd.,"Plot # A-9, 10, 11, Kalurghat I/E
Chittagong","T-Shirts
											 ,Polo Shirts											,Panties											,A Shirts"
Nafs Fashion Ltd.,"N.T. Centre, 911/4, Badurtala
Chittagong","Jackets
											 ,Shorts"
N/A,N/A,N/A
Nahiyan Fashions Ltd.,"Ka 6/1, Khilkhet Tanpara, Joarsahara, Nikunja-2
Dhaka
Airport Road","T-Shirts
											 ,Fleece Jackets											,Polo Shirts											,Shorts"
Naila Fashion (Pvt) Ltd.,"Moghal Complex (3rd - 6th Floor), Vogra, National University
Gazipur","Jackets
											 ,Overalls											,Pants											,Shirts"
Naim Garments Ltd.,"185, Baiazid Bostami Road, Nasirabad I/A
Chittagong
Chittagong","Shirts
											 ,Jacket											,Pants											,Pullover"
N/A,N/A,N/A
Nalin Tex Ltd.,"7112 & 716, Uttar Khan Mazar, Taltala
Dhaka
Dhaka","Kids long pants
											 ,men long pants											,women shirts											,Womens Jacket"
Naliza Sweaters Ltd.,"Gazir Chat, Bypile, Ashulia, Savar, Dhaka
Dhaka
Dhaka",Sweaters
Nandan Apparels,"Kathora, National University
Gazipur
Board Bazar","Shirts
											 ,Jackets											,Pants"
Naomi Sweaters Ltd.,"Plot # A-46/47, BSCIC I/E
Gazipur
Konabari","Sweaters
											 ,Pullovers											,Cardigans"
NAR Sweaters Ltd.,"747, Jajhor, National University
Gazipur",Sweaters
Narail Garments (Pvt) Ltd.,"House # 11, Mouli House, Road # 14, P.C. Culture H. Society Ltd.
Dhaka
Mohammadpur","Overalls
											 ,Trousers"
N/A,N/A,N/A
Nasrin Garments Ltd.,"217/1, Beribadh,
Dhaka
Mohammadpur","Shirts
											 ,Pants											,Jackets"
Nassa Apparels Ltd.,"Kunia K.B. Bazar,
Gazipur
Board Bazar","Shirts
											 ,Trousers											,Shorts"
Nassa Apparels Ltd. U-2,"123, North Begun Bari, Tejgaon I/A
Dhaka
Tejgaon","Shirts
											 ,Shorts											,Trousers"
Nassa Basics Ltd.,"4, Taibpur, Nichintupur, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Shorts"
Nassa Fashions Ltd.,"04, Tayabpur, Nischintopur, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Trousers											,Shorts"
Nassa Hi-Tech Wear Ltd.,"4 Tayabpur, Nischintapur, Zirabo, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Shorts"
Nassa Knit Limited,"123, North Begunbari,
Dhaka
Tejgaon","Shirts
											 ,T-Shirts											,Trousers											,Shorts"
National Apparel Co. Ltd.,"13, Ring Road,
Dhaka
Shamoli","Shirts
											 ,Blouses											,Trousers											,Skirts"
Natural Apparels Ltd.,"Mollah Tower (4th-6th Floor), 464, West Rampura
Dhaka
Rampura","Trousers
											 ,Shorts"
Natural Denims Ltd.,"Plot # 532, Tongabari, Ashulia
Dhaka
Savar","Trousers
											 ,Shorts"
Natural Jeans Technology Ltd.,"532, Tongabari, Ashulia
Dhaka
Savar","Shirts
											 ,Pants"
Natural Sweater Village Ltd.,"Ragu Tower, Gouripur, Ashulia
Dhaka
Savar","Cardigans
											 ,Pullovers											,Sweaters"
Natural Wool Wears Ltd.,"Charabagh, Gouripur, Ashulia
Dhaka
Savar",Sweaters
Navid Knit Fabrics Ltd.,"Sreepur, Dhamsona, Ashulia
Dhaka
Savar",Sweater
